id,date,sales,Old_Price_Revenue
0,2/19/2022,35,94430
0,2/20/2022,130,350740
0,2/22/2022,12,32376
0,2/24/2022,25,67450
0,2/28/2022,63,169974
0,3/2/2022,85,229330
0,3/5/2022,17,45866
0,3/6/2022,67,180766
0,3/7/2022,13,35074
0,3/9/2022,74,199652
0,3/11/2022,167,450566
0,3/13/2022,40,107920
0,3/15/2022,78,210444
0,3/16/2022,36,97128
0,3/18/2022,104,280592
0,3/19/2022,6,16188
0,3/22/2022,86,232028
0,3/23/2022,25,67450
0,3/24/2022,95,256310
0,3/27/2022,107,288686
0,3/28/2022,54,145692
0,3/31/2022,35,94430
0,4/1/2022,32,86336
0,4/2/2022,79,213142
0,4/3/2022,260,701480
0,4/5/2022,75,202350
0,4/6/2022,35,94430
0,4/7/2022,63,169974
0,4/8/2022,164,442472
0,4/10/2022,74,199652
0,4/16/2022,66,178068
0,4/18/2022,77,207746
0,4/22/2022,60,161880
0,4/24/2022,129,348042
0,4/25/2022,31,83638
0,4/26/2022,103,277894
0,4/28/2022,53,142994
0,5/1/2022,98,264404
0,5/2/2022,49,132202
0,5/4/2022,25,67450
0,5/5/2022,39,105222
0,5/7/2022,67,180766
0,5/13/2022,98,264404
0,5/15/2022,9,24282
0,5/20/2022,61,164578
0,5/21/2022,135,364230
0,5/24/2022,35,94430
0,5/25/2022,60,161880
0,5/26/2022,19,51262
0,5/29/2022,183,493734
0,5/30/2022,97,261706
0,6/2/2022,89,240122
0,6/3/2022,54,145692
0,6/4/2022,54,145692
0,6/6/2022,118,318364
0,6/8/2022,39,105222
0,6/9/2022,23,62054
0,6/11/2022,41,110618
0,6/20/2022,38,102524
0,6/21/2022,66,178068
0,6/22/2022,70,188860
0,6/23/2022,50,134900
0,6/24/2022,7,18886
0,6/25/2022,38,102524
0,6/26/2022,58,156484
0,6/29/2022,83,223934
0,7/3/2022,24,64752
0,7/8/2022,43,116014
0,7/10/2022,48,129504
0,7/11/2022,45,121410
0,7/12/2022,131,353438
0,7/14/2022,107,288686
0,7/17/2022,141,380418
0,7/21/2022,46,124108
0,7/23/2022,96,259008
0,7/24/2022,63,169974
0,7/28/2022,6,16188
0,8/3/2022,136,366928
0,8/4/2022,43,116014
0,8/5/2022,78,210444
0,8/9/2022,46,124108
0,8/10/2022,36,97128
0,8/11/2022,3,8094
0,8/12/2022,31,83638
0,8/18/2022,75,202350
0,8/22/2022,56,151088
0,8/23/2022,119,321062
0,8/24/2022,80,215840
0,8/27/2022,91,245518
0,8/31/2022,90,242820
0,9/2/2022,123,331854
0,9/3/2022,34,91732
0,9/6/2022,105,283290
0,9/7/2022,68,183464
0,9/10/2022,97,261706
0,9/11/2022,70,188860
0,9/12/2022,54,145692
0,9/15/2022,80,215840
0,9/16/2022,88,237424
0,9/17/2022,11,29678
0,9/18/2022,39,105222
0,9/19/2022,41,110618
0,9/20/2022,17,45866
0,9/24/2022,76,205048
0,9/26/2022,119,321062
0,9/29/2022,63,169974
0,10/1/2022,11,29678
0,10/3/2022,103,277894
0,10/8/2022,90,242820
0,10/9/2022,95,256310
0,10/19/2022,5,13490
0,10/20/2022,96,259008
0,10/26/2022,19,51262
0,10/28/2022,15,40470
0,10/29/2022,93,250914
0,11/2/2022,85,229330
0,11/5/2022,96,259008
0,11/6/2022,92,248216
0,11/8/2022,70,188860
0,11/11/2022,25,67450
0,11/13/2022,86,232028
0,11/14/2022,97,261706
0,11/16/2022,50,134900
0,11/17/2022,46,124108
0,11/20/2022,16,43168
0,11/21/2022,98,264404
0,11/28/2022,86,232028
0,11/29/2022,58,156484
0,11/30/2022,65,175370
0,12/4/2022,76,205048
0,12/6/2022,29,78242
0,12/10/2022,76,205048
0,12/13/2022,21,56658
0,12/17/2022,88,237424
0,12/18/2022,61,164578
0,12/19/2022,15,40470
0,12/23/2022,14,37772
0,12/27/2022,144,388512
0,12/28/2022,19,51262
0,12/31/2022,24,64752
0,1/8/2023,66,178068
0,1/11/2023,92,248216
0,1/12/2023,48,129504
0,1/13/2023,38,102524
0,1/17/2023,95,256310
0,1/19/2023,28,75544
0,1/20/2023,12,32376
0,1/25/2023,100,269800
0,1/26/2023,51,137598
0,1/27/2023,70,188860
0,1/28/2023,65,175370
0,1/29/2023,10,26980
0,1/31/2023,20,53960
0,2/2/2023,110,296780
0,2/4/2023,108,291384
0,2/6/2023,86,232028
0,2/13/2023,52,140296
0,2/16/2023,63,169974
0,2/17/2023,48,129504
0,2/18/2023,26,70148
1,2/19/2022,63,129087
1,2/23/2022,60,122940
1,2/27/2022,9,18441
1,2/28/2022,271,555279
1,3/2/2022,49,100401
1,3/6/2022,94,192606
1,3/8/2022,102,208998
1,3/11/2022,7,14343
1,3/12/2022,56,114744
1,3/13/2022,34,69666
1,3/18/2022,70,143430
1,3/20/2022,41,84009
1,3/23/2022,62,127038
1,3/28/2022,17,34833
1,3/29/2022,99,202851
1,3/31/2022,83,170067
1,4/2/2022,15,30735
1,4/8/2022,163,333987
1,4/15/2022,6,12294
1,4/18/2022,152,311448
1,4/20/2022,63,129087
1,4/23/2022,71,145479
1,4/25/2022,44,90156
1,4/28/2022,83,170067
1,4/30/2022,88,180312
1,5/1/2022,48,98352
1,5/3/2022,75,153675
1,5/4/2022,9,18441
1,5/7/2022,45,92205
1,5/8/2022,1,2049
1,5/9/2022,27,55323
1,5/13/2022,46,94254
1,5/14/2022,42,86058
1,5/15/2022,82,168018
1,5/19/2022,84,172116
1,5/20/2022,6,12294
1,5/23/2022,92,188508
1,5/24/2022,49,100401
1,5/25/2022,45,92205
1,5/26/2022,39,79911
1,5/29/2022,66,135234
1,5/30/2022,164,336036
1,5/31/2022,137,280713
1,6/1/2022,6,12294
1,6/3/2022,58,118842
1,6/5/2022,90,184410
1,6/9/2022,27,55323
1,6/11/2022,68,139332
1,6/13/2022,36,73764
1,6/14/2022,39,79911
1,6/15/2022,48,98352
1,6/16/2022,39,79911
1,6/17/2022,66,135234
1,6/20/2022,49,100401
1,6/24/2022,78,159822
1,6/26/2022,20,40980
1,6/28/2022,62,127038
1,6/29/2022,49,100401
1,7/1/2022,3,6147
1,7/2/2022,95,194655
1,7/3/2022,16,32784
1,7/5/2022,35,71715
1,7/6/2022,33,67617
