,Product,Review,Negative,Neutral,Positive,sentiment
0,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","The media could not be loaded.
                



 Alright Guys it's really Hard to know things about a machine in 1-2 days But still if you reading this means you really need an advice.# i bought this Renewed laptop few days back and First product i got wasn't working quite well. So i called technician visit through amazon that too 2 times and guys """""" Amazon technicians  Do Not come instead  they'll want you to lie with customer support. They are worthless. Then i raise complaint with Amazon.AMAZON CUSTOMER SUPPORT Always maintain it's standards and services. they helped me getting a replacement from SYNTRONICS OFFICIAL (seller).I got almost new like laptop Dell e5470 latitude with better Processor i5 6th gen 6440HQ with windows 11 pro and charger. But it was inconvenient why couldn't they send me this one in the first time.Points to remember ---1--- Always look for a good seller (most important)  Search it or do some R&D2-- Use the product even if you don't have to. because then only you would know if there's any problem.3--- Do Not rely on Technician complaint raised by amazon because they'll not do any good. Use amazon customer support instead.4- You may get a used laptop like really used . watch for it.5- it's my first renewed product after replacement i am satisfied so far.6-- Keep one thing in mind if the laptop stops working or showing any symptoms of that after 7 days so you'll have to fix it on your own because i don't they will send someone who could fix it this warranty n all that may not work for you.7--- You have 7 days to judge the product. after that you're on your own almost. (i ordered technical visit 2 times no one came)8- Guys it's worth a shot but for those like me (risk takers)PERFORMANCE---1-- really nice,  this latitude laptop will not disappoint you2-  fine browsing, speed, no heat at all, heavy business work, daily things and rendering also covered.3-- performance wise no complaint so far with REPLACEMENT ONE""4- Everything is original.5-- Screen is really good man..6- this is much much better that those 40k 45k laptops only if you get a fine condition product. litlt luck required.7-- Camara is fine , display awesome, processor powerful8-- i got it for 24k somthing.9- you can't ask much if you get a fine condition laptop in the first time.10-- LOOK FOR THE SELLER PLEASE. Do not order unless you trust the seller. I am thankful to Amazon customer support they helped me get a fine condition laptop.Conclusion ---Wanna save the money, you gotta take a little pain and risk. Make your mind first.",7.2,72.4,20.4,neu
1,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",I eated 4 star even though it deserve 5 star but there was only 1 issue which is the reason i gace it 4 star is it was having very much dust on its keyboard. You should definatly buy it if you are looking for a good laptop in small buget. One should definatly buy it. Its works smooth with great configurations.,0,86.3,13.7,neu
2,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","It's been a week now i have been using this laptop. It works really well, the speed,battery etc. Everything is good but it has some minor issues like the screen is not much clear (i mean you can easily tell that it's not an original screen) & the plastic used is also cheap quality for the keyboard. But what can you expect in 18,000 you can't complain. Overall if your budget is tight and you are looking for office use it's a great choice.",5.2,76.4,18.4,neu
3,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",I have been using it since a month and it works perfectly well. I am impressed!,0,57.3,42.7,neu
4,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","Guys, iss laptop ko buy kiye hue mujhe 1 month ho gaya laptop me aap windows 11 update nahi kar sakte because processor support ni karta aor battery 28000mah ki jo ki 1.5 hours backup deti h aur aap return ya replace nahi kar sakte, pehle aapko laptop ka function test  karna h jisme ye successful results aate h kul milakar aap return ni kar sakte. If you don't want to return, that's fine.",1.5,88,10.4,neu
5,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",The battery life is not good and the SSD is only 80 GB instead of 256 GB mentioned in the invoice.,10.7,89.3,0,neu
6,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Value for money products,0,55.6,44.4,neu
7,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","So I already have a the same product I bought from a local vendor 3 yrs back. The product is a no nonsense product. Its fast and works like a charm.For a renewed product there are really no visible signs of it being used product. Just a couple tiny spots where the finishing is dull. All the ports are working.Screen quality is good, battery life is good and charger & adapter is good too.So I now have two of these and plan to buy another couple for the office staff.The only minor defect is the laptop on/off button, it is slightly slanted inwardly.Worth the money spent.",6.4,82.3,11.3,neu
8,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Ok condition,0,31.2,68.8,pos
9,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",From bios log looks like lapto is 6 year old and used for 1 and half year. Dont know is amazons definaion of furnished product setisfies this category ? Just info for refurnished buyers. Press f12 after restat and check bios log.,0,91.8,8.2,neu
10,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",product is nice. but it has bluetooth connectivity issue. i tried all the drivers but it did not work.i call the warranty provider but their phone was switchoff. finally i request amazon tech support to replace my product. thanks a lot amazon.,0,73.4,26.6,neu
11,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Value for money screen quality is good battery life is not good talk about keypad is good Bluetooth is not come with this laptop you have buy it no scratch are found charger and adapter is good if You wanna go for plan B then You may buy it.,7.8,73.2,18.9,neu
12,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","This Product is very good  and value for money  , Screen quality  Awesome  And Laptop Looking like new  and no scratches .",6.9,53.7,39.3,neu
13,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",The media could not be loaded.,0,100,0,neu
14,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","The media could not be loaded.
                



 Battery life 1 -2hrs",0,100,0,neu
15,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)",Speakers error........,73,27,0,neg
16,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram &amp; 256 GB SSD, Windows 10 Pro, 1.71Kg)","Been a month since we are using.Product is decent. Prior usage shows its been heavily used. But no damages. Battery is lasting 3-4 hrsLaptop has been upgraded to an SSD, so it's a SATA SSD, not pci nvme. Windows pro and office 21 are good for businessesOverall speed is good. A decent buy under 20kTo see how long it lasts.Also purchased new laptop core i3 11th gen, 8 gb 512 gb ssd, for 25k with better specs in Amazon sale. That's a better buy but not always available",0,80,20,neu
